dataset,algorithm,clients,capacity,routes_used,total_length,valid,time_ms
RC201,ts,100,1000,2,677.867,YES,4.34829
RC202,cw,100,1000,2,692.072,YES,0.286584
RC202,cw2opt,100,1000,2,678.492,YES,0.282166
RC202,hybrid,100,1000,2,672.276,YES,2.22788
RC202,nn,100,1000,2,905.042,YES,0.018208
RC202,sa,100,1000,2,678.492,YES,2.02217
RC202,ts,100,1000,2,677.867,YES,4.43462
RC203,cw,100,1000,2,692.072,YES,0.258333
RC203,cw2opt,100,1000,2,678.492,YES,0.265125
RC203,hybrid,100,1000,2,672.276,YES,2.36112
RC203,nn,100,1000,2,905.042,YES,0.0175
RC203,sa,100,1000,2,678.492,YES,2.09346
RC203,ts,100,1000,2,677.867,YES,4.35738
RC204,cw,100,1000,2,692.072,YES,0.2605
RC204,cw2opt,100,1000,2,678.492,YES,0.2785
RC204,hybrid,100,1000,2,672.276,YES,2.3765
RC204,nn,100,1000,2,905.042,YES,0.01775
RC204,sa,100,1000,2,678.492,YES,2.01333
RC204,ts,100,1000,2,677.867,YES,4.27254
RC205,cw,100,1000,2,692.072,YES,0.258833
RC205,cw2opt,100,1000,2,678.492,YES,0.282584
RC205,hybrid,100,1000,2,672.276,YES,2.39383
RC205,nn,100,1000,2,905.042,YES,0.018
RC205,sa,100,1000,2,678.492,YES,1.99771
RC205,ts,100,1000,2,677.867,YES,4.29717
RC206,cw,100,1000,2,692.072,YES,0.2555
RC206,cw2opt,100,1000,2,678.492,YES,0.265084
RC206,hybrid,100,1000,2,672.276,YES,2.23929
RC206,nn,100,1000,2,905.042,YES,0.017583
RC206,sa,100,1000,2,678.492,YES,2.11754
RC206,ts,100,1000,2,677.867,YES,4.51717
RC207,cw,100,1000,2,692.072,YES,0.260666
RC207,cw2opt,100,1000,2,678.492,YES,0.264166
RC207,hybrid,100,1000,2,672.276,YES,2.34771
RC207,nn,100,1000,2,905.042,YES,0.017667
RC207,sa,100,1000,2,678.492,YES,2.01179
RC207,ts,100,1000,2,677.867,YES,4.31837
RC208,cw,100,1000,2,692.072,YES,0.269416
RC208,cw2opt,100,1000,2,678.492,YES,0.2665
RC208,hybrid,100,1000,2,672.276,YES,2.28754
RC208,nn,100,1000,2,905.042,YES,0.016083
RC208,sa,100,1000,2,678.492,YES,2.07079
RC208,ts,100,1000,2,677.867,YES,4.49838
